dataset_id,permutation_id,permutation_order,exact_tuning_maximum,total_order_selected_id,total_order_selected_config,total_order_optimizer_label,first_rule_selected_id,first_rule_selected_config,first_rule_optimizer_label
5,20,10|6|5|1|3|9|4|0|2|8|11|7,0.75,0,C00,optimizer-A,6,C06,optimizer-B
5,21,0|8|3|5|9|7|11|6|1|2|10|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
5,22,10|5|11|1|4|9|6|7|8|0|2|3,0.75,0,C00,optimizer-A,5,C05,optimizer-A
5,23,4|8|10|7|6|1|5|2|11|3|0|9,0.75,0,C00,optimizer-A,6,C06,optimizer-B
5,24,7|8|6|0|1|9|2|3|11|10|4|5,0.75,0,C00,optimizer-A,6,C06,optimizer-B
6,0,2|3|1|10|6|7|0|8|4|5|9|11,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,1,0|5|11|3|2|8|10|7|6|9|1|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,2,11|5|2|4|0|7|6|10|1|9|3|8,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,3,4|8|0|3|5|1|10|7|2|11|6|9,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,4,7|6|0|4|9|10|1|11|2|3|8|5,0.75,0,C00,optimizer-A,7,C07,optimizer-B
6,5,0|1|8|10|5|4|7|3|2|11|9|6,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,6,6|9|7|10|5|2|3|8|11|1|4|0,0.75,0,C00,optimizer-A,6,C06,optimizer-B
6,7,1|6|3|9|10|11|5|8|2|4|0|7,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,8,5|2|1|8|6|9|0|10|7|11|3|4,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,9,0|10|5|2|3|11|4|9|1|8|7|6,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,10,7|3|9|11|6|2|10|1|5|4|8|0,0.75,0,C00,optimizer-A,7,C07,optimizer-B
6,11,3|5|8|1|0|11|10|9|4|6|2|7,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,12,6|4|8|7|5|11|3|2|9|0|1|10,0.75,0,C00,optimizer-A,6,C06,optimizer-B
6,13,5|1|0|8|10|3|2|6|11|9|7|4,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,14,8|10|3|5|1|9|4|0|11|7|6|2,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,15,0|8|6|7|11|2|9|3|1|10|5|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,16,8|9|2|10|4|7|6|11|1|0|5|3,0.75,0,C00,optimizer-A,7,C07,optimizer-B
6,17,7|1|6|4|0|10|11|9|5|8|3|2,0.75,0,C00,optimizer-A,7,C07,optimizer-B
6,18,10|3|5|8|4|9|2|1|6|0|11|7,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,19,9|5|3|8|11|7|0|10|1|2|4|6,0.75,0,C00,optimizer-A,7,C07,optimizer-B
6,20,10|6|5|1|3|9|4|0|2|8|11|7,0.75,0,C00,optimizer-A,6,C06,optimizer-B
6,21,0|8|3|5|9|7|11|6|1|2|10|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
6,22,10|5|11|1|4|9|6|7|8|0|2|3,0.75,0,C00,optimizer-A,1,C01,optimizer-A
6,23,4|8|10|7|6|1|5|2|11|3|0|9,0.75,0,C00,optimizer-A,7,C07,optimizer-B
6,24,7|8|6|0|1|9|2|3|11|10|4|5,0.75,0,C00,optimizer-A,7,C07,optimizer-B
7,0,2|3|1|10|6|7|0|8|4|5|9|11,0.75,1,C01,optimizer-A,2,C02,optimizer-A
7,1,0|5|11|3|2|8|10|7|6|9|1|4,0.75,1,C01,optimizer-A,2,C02,optimizer-A
7,2,11|5|2|4|0|7|6|10|1|9|3|8,0.75,1,C01,optimizer-A,2,C02,optimizer-A
7,3,4|8|0|3|5|1|10|7|2|11|6|9,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,4,7|6|0|4|9|10|1|11|2|3|8|5,0.75,1,C01,optimizer-A,7,C07,optimizer-B
7,5,0|1|8|10|5|4|7|3|2|11|9|6,0.75,1,C01,optimizer-A,1,C01,optimizer-A
7,6,6|9|7|10|5|2|3|8|11|1|4|0,0.75,1,C01,optimizer-A,7,C07,optimizer-B
7,7,1|6|3|9|10|11|5|8|2|4|0|7,0.75,1,C01,optimizer-A,1,C01,optimizer-A
7,8,5|2|1|8|6|9|0|10|7|11|3|4,0.75,1,C01,optimizer-A,2,C02,optimizer-A
7,9,0|10|5|2|3|11|4|9|1|8|7|6,0.75,1,C01,optimizer-A,2,C02,optimizer-A
7,10,7|3|9|11|6|2|10|1|5|4|8|0,0.75,1,C01,optimizer-A,7,C07,optimizer-B
7,11,3|5|8|1|0|11|10|9|4|6|2|7,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,12,6|4|8|7|5|11|3|2|9|0|1|10,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,13,5|1|0|8|10|3|2|6|11|9|7|4,0.75,1,C01,optimizer-A,1,C01,optimizer-A
7,14,8|10|3|5|1|9|4|0|11|7|6|2,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,15,0|8|6|7|11|2|9|3|1|10|5|4,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,16,8|9|2|10|4|7|6|11|1|0|5|3,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,17,7|1|6|4|0|10|11|9|5|8|3|2,0.75,1,C01,optimizer-A,7,C07,optimizer-B
7,18,10|3|5|8|4|9|2|1|6|0|11|7,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,19,9|5|3|8|11|7|0|10|1|2|4|6,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,20,10|6|5|1|3|9|4|0|2|8|11|7,0.75,1,C01,optimizer-A,1,C01,optimizer-A
7,21,0|8|3|5|9|7|11|6|1|2|10|4,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,22,10|5|11|1|4|9|6|7|8|0|2|3,0.75,1,C01,optimizer-A,1,C01,optimizer-A
7,23,4|8|10|7|6|1|5|2|11|3|0|9,0.75,1,C01,optimizer-A,8,C08,optimizer-B
7,24,7|8|6|0|1|9|2|3|11|10|4|5,0.75,1,C01,optimizer-A,7,C07,optimizer-B
8,0,2|3|1|10|6|7|0|8|4|5|9|11,0.75,2,C02,optimizer-A,2,C02,optimizer-A
8,1,0|5|11|3|2|8|10|7|6|9|1|4,0.75,2,C02,optimizer-A,3,C03,optimizer-A
8,2,11|5|2|4|0|7|6|10|1|9|3|8,0.75,2,C02,optimizer-A,2,C02,optimizer-A
8,3,4|8|0|3|5|1|10|7|2|11|6|9,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,4,7|6|0|4|9|10|1|11|2|3|8|5,0.75,2,C02,optimizer-A,9,C09,optimizer-B
8,5,0|1|8|10|5|4|7|3|2|11|9|6,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,6,6|9|7|10|5|2|3|8|11|1|4|0,0.75,2,C02,optimizer-A,9,C09,optimizer-B
8,7,1|6|3|9|10|11|5|8|2|4|0|7,0.75,2,C02,optimizer-A,3,C03,optimizer-A
8,8,5|2|1|8|6|9|0|10|7|11|3|4,0.75,2,C02,optimizer-A,2,C02,optimizer-A
8,9,0|10|5|2|3|11|4|9|1|8|7|6,0.75,2,C02,optimizer-A,2,C02,optimizer-A
8,10,7|3|9|11|6|2|10|1|5|4|8|0,0.75,2,C02,optimizer-A,3,C03,optimizer-A
8,11,3|5|8|1|0|11|10|9|4|6|2|7,0.75,2,C02,optimizer-A,3,C03,optimizer-A
8,12,6|4|8|7|5|11|3|2|9|0|1|10,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,13,5|1|0|8|10|3|2|6|11|9|7|4,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,14,8|10|3|5|1|9|4|0|11|7|6|2,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,15,0|8|6|7|11|2|9|3|1|10|5|4,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,16,8|9|2|10|4|7|6|11|1|0|5|3,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,17,7|1|6|4|0|10|11|9|5|8|3|2,0.75,2,C02,optimizer-A,9,C09,optimizer-B
8,18,10|3|5|8|4|9|2|1|6|0|11|7,0.75,2,C02,optimizer-A,3,C03,optimizer-A
8,19,9|5|3|8|11|7|0|10|1|2|4|6,0.75,2,C02,optimizer-A,9,C09,optimizer-B
8,20,10|6|5|1|3|9|4|0|2|8|11|7,0.75,2,C02,optimizer-A,3,C03,optimizer-A
8,21,0|8|3|5|9|7|11|6|1|2|10|4,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,22,10|5|11|1|4|9|6|7|8|0|2|3,0.75,2,C02,optimizer-A,9,C09,optimizer-B
8,23,4|8|10|7|6|1|5|2|11|3|0|9,0.75,2,C02,optimizer-A,8,C08,optimizer-B
8,24,7|8|6|0|1|9|2|3|11|10|4|5,0.75,2,C02,optimizer-A,8,C08,optimizer-B
9,0,2|3|1|10|6|7|0|8|4|5|9|11,0.75,3,C03,optimizer-A,3,C03,optimizer-A
9,1,0|5|11|3|2|8|10|7|6|9|1|4,0.75,3,C03,optimizer-A,3,C03,optimizer-A
9,2,11|5|2|4|0|7|6|10|1|9|3|8,0.75,3,C03,optimizer-A,4,C04,optimizer-A
9,3,4|8|0|3|5|1|10|7|2|11|6|9,0.75,3,C03,optimizer-A,4,C04,optimizer-A
