stage,seed,step,train_cross_entropy,train_accuracy,test_accuracy,n_core,train_centered_logit_rms,test_centered_logit_rms
calibration,11,0,3.431758165359497,0.05188679322600365,0.041009463369846344,1531.722025249306,0.7756815552711487,0.7718780636787415
calibration,11,25,3.0141751766204834,0.12735849618911743,0.012618296779692173,1467.889654487248,0.3525799512863159,0.34564483165740967
calibration,11,50,2.702702760696411,0.1603773534297943,0.012618296779692173,1426.2898101479564,0.7055865526199341,0.6671162247657776
calibration,11,75,2.0413994789123535,0.3349056541919708,0.009463722817599773,1404.4391974979912,1.6059061288833618,1.5912206172943115
calibration,11,100,1.1129505634307861,0.6698113083839417,0.012618296779692173,1393.636925666963,3.022797107696533,3.0932626724243164
calibration,11,125,0.38170313835144043,0.9622641801834106,0.015772869810461998,1386.4409178854175,4.952219009399414,5.121609687805176
calibration,11,150,0.09700502455234528,0.9905660152435303,0.018927445635199547,1370.9198334506088,6.958672046661377,7.251336574554443
calibration,11,175,0.04042704775929451,0.9905660152435303,0.018927445635199547,1339.4397936766024,8.241804122924805,8.581607818603516
calibration,11,200,0.02768740803003311,0.9858490824699402,0.018927445635199547,1298.3339271179395,8.83149528503418,9.19229793548584
calibration,11,225,0.022516140714287758,0.9905660152435303,0.015772869810461998,1255.3663159996736,9.150004386901855,9.520347595214844
calibration,11,250,0.014947826974093914,0.9952830076217651,0.012618296779692173,1213.1044511440482,9.38380241394043,9.771526336669922
calibration,11,275,0.011780244298279285,0.9952830076217651,0.012618296779692173,1173.1521593601717,9.610559463500977,9.965934753417969
calibration,11,300,0.010271371342241764,0.9952830076217651,0.012618296779692173,1134.6091011734638,9.799466133117676,10.156571388244629
calibration,11,325,0.009433753788471222,0.9952830076217651,0.009463722817599773,1097.452793211495,9.950901985168457,10.31083869934082
calibration,11,350,0.00870162807404995,0.9952830076217651,0.009463722817599773,1062.1266000935307,10.098560333251953,10.462891578674316
calibration,11,375,0.008268195204436779,0.9952830076217651,0.009463722817599773,1028.4342615769779,10.232168197631836,10.603271484375
calibration,11,400,0.007845286279916763,0.9952830076217651,0.009463722817599773,996.623446291256,10.377609252929688,10.757159233093262
calibration,11,425,0.0076657976023852825,0.9952830076217651,0.012618296779692173,966.3129987871425,10.50742244720459,10.893644332885742
calibration,11,450,0.007356459740549326,0.9952830076217651,0.012618296779692173,937.6973500135394,10.653725624084473,11.046889305114746
calibration,11,475,0.0072616105899214745,0.9952830076217651,0.015772869810461998,910.569681592597,10.792830467224121,11.18542194366455
calibration,11,500,0.0070679220370948315,0.9952830076217651,0.015772869810461998,884.5067618793034,10.915937423706055,11.315176010131836
calibration,11,525,0.006947624031454325,0.9952830076217651,0.015772869810461998,860.3955429926858,11.090569496154785,11.49476146697998
calibration,11,550,0.00687776692211628,0.9952830076217651,0.015772869810461998,837.224474209403,11.234612464904785,11.642736434936523
calibration,11,575,0.006796031259000301,0.9952830076217651,0.015772869810461998,815.3144916262373,11.399843215942383,11.816667556762695
calibration,11,600,0.006749285850673914,0.9952830076217651,0.015772869810461998,794.3046188731305,11.532240867614746,11.950451850891113
calibration,11,625,0.012297284789383411,0.9952830076217651,0.018927445635199547,770.89215197353,11.538986206054688,11.853144645690918
calibration,11,650,0.00780147360637784,0.9952830076217651,0.012618296779692173,745.6259941253616,10.993285179138184,11.25034236907959
calibration,11,675,0.007397185079753399,0.9952830076217651,0.015772869810461998,720.1071575058473,10.568120002746582,10.816559791564941
calibration,11,700,0.007443793583661318,0.9952830076217651,0.015772869810461998,695.7268879191158,10.147732734680176,10.394749641418457
calibration,11,725,0.007515279576182365,0.9952830076217651,0.012618296779692173,673.7301557298836,9.855552673339844,10.09970760345459
calibration,11,750,0.00749850831925869,0.9952830076217651,0.012618296779692173,654.3863445975684,9.728843688964844,9.97174072265625
calibration,11,775,0.007721509784460068,0.9952830076217651,0.012618296779692173,637.4461877783674,9.74284839630127,9.987651824951172
calibration,11,800,0.007307266350835562,0.9952830076217651,0.012618296779692173,621.8960616846064,9.804281234741211,10.055438995361328
calibration,11,825,0.006850311998277903,1.0,0.012618296779692173,608.3815906381733,9.980276107788086,10.242673873901367
calibration,11,850,0.0008308294345624745,1.0,0.009463722817599773,599.2502518760192,10.380231857299805,10.637153625488281
calibration,11,875,0.00042425215360708535,1.0,0.009463722817599773,589.1513891965827,10.780427932739258,11.057573318481445
calibration,11,900,0.00034440463059581816,1.0,0.009463722817599773,577.2037423234937,10.884246826171875,11.148178100585938
calibration,11,925,0.000284565583569929,1.0,0.009463722817599773,566.2143140758569,11.025022506713867,11.291487693786621
calibration,11,950,0.00022343502496369183,1.0,0.009463722817599773,556.4419610722896,11.232398986816406,11.503846168518066
calibration,11,975,0.0001710060314508155,1.0,0.009463722817599773,547.509021704104,11.46761703491211,11.745382308959961
calibration,11,1000,0.00013013294665142894,1.0,0.009463722817599773,539.1609545005392,11.707605361938477,11.992039680480957
calibration,11,1025,9.905340994009748e-05,1.0,0.009463722817599773,531.3028415011223,11.945799827575684,12.237101554870605
calibration,11,1050,7.547611312475055e-05,1.0,0.012618296779692173,523.8988052065241,12.180892944335938,12.47935676574707
calibration,11,1075,5.7549263146938756e-05,1.0,0.012618296779692173,516.924037584451,12.41294002532959,12.7188081741333
calibration,11,1100,4.3908679799642414e-05,1.0,0.012618296779692173,510.35407916097495,12.641700744628906,12.955181121826172
calibration,11,1125,3.352287603775039e-05,1.0,0.018927445635199547,504.1630316231282,12.86722183227539,13.188323974609375
calibration,11,1150,2.5607043426134624e-05,1.0,0.022082019597291946,498.32712126814386,13.089434623718262,13.418076515197754
calibration,11,1175,1.9559050997486338e-05,1.0,0.022082019597291946,492.8237608473354,13.308770179748535,13.644770622253418
calibration,11,1200,1.4920125067874324e-05,1.0,0.022082019597291946,487.62654639219784,13.524273872375488,13.867321968078613
calibration,11,1225,1.1387772246962413e-05,1.0,0.022082019597291946,482.7070867955764,13.736270904541016,14.085712432861328
calibration,11,1250,8.677485311636701e-06,1.0,0.022082019597291946,478.03771555529204,13.943318367004395,14.298279762268066
calibration,11,1275,6.618334737140685e-06,1.0,0.025236593559384346,473.58903997755743,14.145745277404785,14.506001472473145
calibration,11,1300,5.058504939370323e-06,1.0,0.025236593559384346,469.3390020512965,14.340043067932129,14.706446647644043
calibration,11,1325,3.871479748340789e-06,1.0,0.025236593559384346,465.2985071437175,14.528804779052734,14.901503562927246
calibration,11,1350,2.9751654437859543e-06,1.0,0.025236593559384346,461.46557922721007,14.709050178527832,15.089301109313965
calibration,11,1375,2.295337480973103e-06,1.0,0.025236593559384346,457.82542733573945,14.884720802307129,15.273965835571289
calibration,11,1400,2.092906925099669e-06,1.0,0.025236593559384346,454.3917186437719,15.05716323852539,15.4481201171875
calibration,11,1425,0.00962160062044859,1.0,0.015772869810461998,443.77903857008323,12.9815034866333,13.153963088989258
calibration,11,1450,0.001327916281297803,1.0,0.018927445635199547,432.5950737130086,12.069717407226562,12.238883018493652
calibration,11,1475,0.0009298137156292796,1.0,0.018927445635199547,421.368365747009,11.43043041229248,11.598712921142578
calibration,11,1500,0.0009872581576928496,1.0,0.018927445635199547,410.64382192941855,10.74998950958252,10.912332534790039
calibration,11,1525,0.0011131048668175936,1.0,0.018927445635199547,400.68076414459597,10.127324104309082,10.281352043151855
calibration,11,1550,0.0012289900332689285,1.0,0.018927445635199547,391.583731008387,9.573834419250488,9.720364570617676
calibration,11,1575,0.0013397822622209787,1.0,0.018927445635199547,383.43919255102344,9.113105773925781,9.25447940826416
calibration,11,1600,0.0014514225767925382,1.0,0.018927445635199547,376.36864928556463,8.748801231384277,8.887166976928711
calibration,11,1625,0.001540833036415279,1.0,0.018927445635199547,370.54671632435554,8.481380462646484,8.619026184082031
calibration,11,1650,0.0015406229067593813,1.0,0.015772869810461998,366.1211250900765,8.31717586517334,8.457468032836914
calibration,11,1675,0.001432937104254961,1.0,0.015772869810461998,363.08298678273934,8.265589714050293,8.410806655883789
calibration,11,1700,0.0012448190245777369,1.0,0.018927445635199547,361.25454744851675,8.319948196411133,8.470464706420898
calibration,11,1725,0.0010225774021819234,1.0,0.018927445635199547,360.3432545788562,8.449045181274414,8.605949401855469
calibration,11,1750,0.0008113223011605442,1.0,0.022082019597291946,360.03371192176394,8.621915817260742,8.78657054901123
calibration,11,1775,0.0006320477114059031,1.0,0.025236593559384346,360.0916400665721,8.817628860473633,8.990938186645508
calibration,11,1800,0.00048799137584865093,1.0,0.025236593559384346,360.3782858891164,9.024293899536133,9.20675277709961
calibration,11,1825,0.00037524057552218437,1.0,0.025236593559384346,360.818264662267,9.235580444335938,9.42750072479248
calibration,11,1850,0.00028814063989557326,1.0,0.025236593559384346,361.37259550275155,9.448075294494629,9.64997386932373
calibration,11,1875,0.00022121009533293545,1.0,0.025236593559384346,362.0220886392606,9.660382270812988,9.873151779174805
calibration,11,1900,0.00016985183174256235,1.0,0.025236593559384346,362.7571632667232,9.871980667114258,10.09691333770752
calibration,11,1925,0.00013042904902249575,1.0,0.025236593559384346,363.5712441870807,10.0826997756958,10.321344375610352
calibration,11,1950,0.00010016718442784622,1.0,0.025236593559384346,364.45874427584636,10.292502403259277,10.546587944030762
calibration,11,1975,7.696218381170183e-05,1.0,0.025236593559384346,365.41424371167125,10.501559257507324,10.772756576538086
calibration,11,2000,5.9147540014237165e-05,1.0,0.028391167521476746,366.43403835986066,10.71017837524414,11.00003433227539
calibration,11,2025,4.547310891211964e-05,1.0,0.028391167521476746,367.51445032361977,10.918792724609375,11.228707313537598
calibration,11,2050,3.4966349630849436e-05,1.0,0.028391167521476746,368.6536306101665,11.127778053283691,11.459145545959473
calibration,11,2075,2.688180211407598e-05,1.0,0.028391167521476746,369.84495232692643,11.336658477783203,11.690956115722656
calibration,11,2100,2.068029425572604e-05,1.0,0.025236593559384346,371.0810921089638,11.544983863830566,11.923095703125
calibration,11,2125,0.4907214939594269,0.8301886916160583,0.022082019597291946,370.1634546842057,7.6645636558532715,8.090880393981934
calibration,11,2150,0.0395079106092453,1.0,0.022082019597291946,366.4975869263775,7.056695461273193,7.505067825317383
calibration,11,2175,0.008989005349576473,1.0,0.022082019597291946,361.42194415303817,7.688605308532715,8.080512046813965
calibration,11,2200,0.006204895209521055,1.0,0.022082019597291946,355.5540419894216,7.651893615722656,8.02725887298584
calibration,11,2225,0.005481907166540623,1.0,0.022082019597291946,349.8850858540955,7.50147819519043,7.839813232421875
calibration,11,2250,0.005043286830186844,1.0,0.028391167521476746,344.65234028694385,7.3547868728637695,7.655266761779785
calibration,11,2275,0.004813381005078554,1.0,0.037854891270399094,339.91885393977066,7.187926292419434,7.455020427703857
calibration,11,2300,0.0048292214050889015,1.0,0.034700315445661545,335.7629828087088,6.99186897277832,7.233883380889893
calibration,11,2325,0.005047685466706753,1.0,0.034700315445661545,332.3281699601794,6.782464981079102,7.012097358703613
calibration,11,2350,0.00525849312543869,1.0,0.034700315445661545,329.81303769012914,6.603607654571533,6.831167697906494
calibration,11,2375,0.005238617304712534,1.0,0.028391167521476746,328.3810143831095,6.492342948913574,6.723831653594971
calibration,11,2400,0.004888810683041811,1.0,0.028391167521476746,328.07394009000143,6.468340873718262,6.709749221801758
calibration,11,2425,0.004258114844560623,1.0,0.028391167521476746,328.7751114339878,6.532381057739258,6.789483547210693
calibration,11,2450,0.0035029889550060034,1.0,0.028391167521476746,330.24052104290564,6.6674113273620605,6.9436798095703125
calibration,11,2475,0.0027738746721297503,1.0,0.025236593559384346,332.19530361308085,6.849905014038086,7.146752834320068
calibration,11,2500,0.0021507914643734694,1.0,0.025236593559384346,334.4194414056178,7.059244155883789,7.377462387084961
calibration,11,2525,0.001651272876188159,1.0,0.022082019597291946,336.77578198544546,7.282337188720703,7.622033596038818
calibration,11,2550,0.0012624823721125722,1.0,0.018927445635199547,339.1923393616628,7.51262903213501,7.873277187347412
calibration,11,2575,0.0009636100148782134,1.0,0.022082019597291946,341.63362343037613,7.746884346008301,8.127763748168945
calibration,11,2600,0.0007350454106926918,1.0,0.025236593559384346,344.08092598074194,7.983413219451904,8.383878707885742
calibration,11,2625,0.0005606023478321731,1.0,0.025236593559384346,346.5233800721557,8.221306800842285,8.640833854675293
calibration,11,2650,0.00042760762153193355,1.0,0.025236593559384346,348.9540702446772,8.46010684967041,8.898233413696289
calibration,11,2675,0.0003262187819927931,1.0,0.025236593559384346,351.3682834051433,8.699535369873047,9.155768394470215
calibration,11,2700,0.0002489386824890971,1.0,0.025236593559384346,353.7626583545484,8.939489364624023,9.413296699523926
calibration,11,2725,0.00018998963059857488,1.0,0.028391167521476746,356.13445119877105,9.179825782775879,9.67061996459961
calibration,11,2750,0.00014503071724902838,1.0,0.028391167521476746,358.48078866005295,9.420403480529785,9.927583694458008
calibration,11,2775,0.00011073827772634104,1.0,0.028391167521476746,360.79943704869,9.661164283752441,10.184154510498047
calibration,11,2800,8.454862836515531e-05,1.0,0.031545739620923996,363.08852312040386,9.902053833007812,10.440339088439941
calibration,11,2825,6.456382106989622e-05,1.0,0.031545739620923996,365.3452187938855,10.142792701721191,10.695906639099121
calibration,11,2850,4.9306690925732255e-05,1.0,0.031545739620923996,367.5673644635863,10.382952690124512,10.950444221496582
calibration,11,2875,3.766755253309384e-05,1.0,0.028391167521476746,369.7533608814022,10.62228012084961,11.203773498535156
calibration,11,2900,2.878514897020068e-05,1.0,0.028391167521476746,371.9022837541502,10.860552787780762,11.455649375915527
calibration,11,2925,2.2012927729520015e-05,1.0,0.028391167521476746,374.01415314949566,11.097489356994629,11.70588493347168
calibration,11,2950,1.6840946045704186e-05,1.0,0.028391167521476746,376.08912131190357,11.332855224609375,11.954310417175293
calibration,11,2975,1.2885745491075795e-05,1.0,0.031545739620923996,378.12867379503894,11.567021369934082,12.201371192932129
calibration,11,3000,9.873504495772067e-06,1.0,0.031545739620923996,380.1321637237037,11.799336433410645,12.446702003479004
calibration,11,3025,7.581562840641709e-06,1.0,0.034700315445661545,382.10135578483863,12.030385971069336,12.69058609008789
calibration,11,3050,5.807495199405821e-06,1.0,0.031545739620923996,384.0351945473653,12.259665489196777,12.932957649230957
calibration,11,3075,0.44060778617858887,0.8632075190544128,0.028391167521476746,385.03487804750296,7.867420673370361,8.198098182678223
calibration,11,3100,0.036118678748607635,1.0,0.022082019597291946,383.9174064091559,7.3865814208984375,7.556142330169678
calibration,11,3125,0.007456309162080288,1.0,0.025236593559384346,380.3626241039063,8.078328132629395,8.317174911499023
calibration,11,3150,0.005522788502275944,1.0,0.031545739620923996,375.8325773503252,7.743384838104248,8.010211944580078
calibration,11,3175,0.005421184003353119,1.0,0.031545739620923996,371.50613106459707,7.4125285148620605,7.681594371795654
calibration,11,3200,0.00502364244312048,1.0,0.031545739620923996,367.69963641305395,7.244449138641357,7.511579990386963
calibration,11,3225,0.004493445623666048,1.0,0.034700315445661545,364.4173093761534,7.150068283081055,7.411102771759033
calibration,11,3250,0.004028203431516886,1.0,0.034700315445661545,361.64611506474444,7.070045471191406,7.326296329498291
calibration,11,3275,0.003638449590653181,1.0,0.034700315445661545,359.41192187014985,6.9910888671875,7.245113849639893
calibration,11,3300,0.003323670942336321,1.0,0.031545739620923996,357.7640899774787,6.905481815338135,7.158620357513428
calibration,11,3325,0.0030768979340791702,1.0,0.031545739620923996,356.7850924963843,6.818398952484131,7.07304048538208
calibration,11,3350,0.0028432756662368774,1.0,0.025236593559384346,356.586142782873,6.754628658294678,7.014801025390625
calibration,11,3375,0.0025564301759004593,1.0,0.028391167521476746,357.2444407069817,6.7453389167785645,7.014709949493408
calibration,11,3400,0.0021965967025607824,1.0,0.028391167521476746,358.72575547542596,6.806299686431885,7.086819648742676
calibration,11,3425,0.0018016926478594542,1.0,0.028391167521476746,360.86961218308585,6.9305524826049805,7.223319053649902
calibration,11,3450,0.001427913666702807,1.0,0.028391167521476746,363.4486257348028,7.10023832321167,7.406439304351807
calibration,11,3475,0.0011093933135271072,1.0,0.028391167521476746,366.26280261369726,7.297147274017334,7.617562770843506
calibration,11,3500,0.0008533606305718422,1.0,0.028391167521476746,369.1830057604322,7.508777618408203,7.843571662902832
calibration,11,3525,0.0006533858831971884,1.0,0.028391167521476746,372.1385350585373,7.728204727172852,8.07715129852295
calibration,11,3550,0.0004992130561731756,1.0,0.028391167521476746,375.0936781273247,7.951847076416016,8.314526557922363
calibration,11,3575,0.0003810824127867818,1.0,0.028391167521476746,378.0301829893242,8.177815437316895,8.553723335266113
calibration,11,3600,0.00029079249361529946,1.0,0.028391167521476746,380.9384570201707,8.405020713806152,8.793593406677246
calibration,11,3625,0.0002218862355221063,1.0,0.028391167521476746,383.81341406572955,8.632747650146484,9.03342056274414
calibration,11,3650,0.00016933736333157867,1.0,0.031545739620923996,386.65270498205734,8.860488891601562,9.272709846496582
calibration,11,3675,0.0001292629458475858,1.0,0.031545739620923996,389.45547973595484,9.087867736816406,9.51113510131836
calibration,11,3700,9.871488873613998e-05,1.0,0.031545739620923996,392.2216977954046,9.314550399780273,9.748420715332031
calibration,11,3725,7.541201921412721e-05,1.0,0.031545739620923996,394.95229253823527,9.540321350097656,9.984408378601074
calibration,11,3750,5.763220906374045e-05,1.0,0.031545739620923996,397.6475855719827,9.764983177185059,10.218923568725586
calibration,11,3775,4.408258610055782e-05,1.0,0.034700315445661545,400.3085078516074,9.988409042358398,10.45193862915039
calibration,11,3800,3.373325307620689e-05,1.0,0.034700315445661545,402.93434676508457,10.210208892822266,10.682977676391602
calibration,11,3825,2.582750494184438e-05,1.0,0.034700315445661545,405.525625832215,10.430309295654297,10.911888122558594
calibration,11,3850,1.9798611901933327e-05,1.0,0.037854891270399094,408.08335241059876,10.648945808410645,11.138937950134277
calibration,11,3875,1.516867177997483e-05,1.0,0.04416403919458389,410.60698256256126,10.865876197814941,11.363709449768066
calibration,11,3900,1.1632940186245833e-05,1.0,0.04416403919458389,413.09726577047127,11.081220626831055,11.586575508117676
calibration,11,3925,8.924902431317605e-06,1.0,0.04416403919458389,415.5564796951664,11.295123100280762,11.807494163513184
calibration,11,3950,6.854504590592114e-06,1.0,0.04416403919458389,417.9749117278927,11.505452156066895,12.02434253692627
calibration,11,3975,5.2637474254879635e-06,1.0,0.04416403919458389,420.36048823390996,11.71550464630127,12.239693641662598
calibration,11,4000,4.050855750392657e-06,1.0,0.04416403919458389,422.70667849958267,11.920907974243164,12.451566696166992
calibration,11,4025,3.127550598946982e-06,1.0,0.04416403919458389,425.0109727607477,12.124176979064941,12.65980052947998
calibration,11,4050,2.4106107048282865e-06,1.0,0.04416403919458389,427.28989544766773,12.329690933227539,12.870010375976562
calibration,11,4075,1.8544895965533215e-06,1.0,0.04416403919458389,429.5143014271793,12.534073829650879,13.078567504882812
calibration,11,4100,0.8679345846176147,0.7169811129570007,0.025236593559384346,430.24366536074876,6.915653705596924,7.047586917877197
calibration,11,4125,0.09976504743099213,0.9952830076217651,0.034700315445661545,427.42631874322495,5.379673957824707,5.654677391052246
calibration,11,4150,0.030967140570282936,1.0,0.031545739620923996,424.13990775805917,5.8557538986206055,6.183974266052246
calibration,11,4175,0.018344221636652946,1.0,0.041009463369846344,420.6635409334366,6.1213297843933105,6.464972019195557
calibration,11,4200,0.012829254381358624,1.0,0.041009463369846344,417.21754834974195,6.323943138122559,6.664661884307861
calibration,11,4225,0.00903223268687725,1.0,0.034700315445661545,413.90363871610157,6.534420967102051,6.869901180267334
calibration,11,4250,0.006421405356377363,1.0,0.034700315445661545,410.72800913381326,6.735141277313232,7.053818702697754
calibration,11,4275,0.004849569406360388,1.0,0.041009463369846344,407.692436415236,6.869517803192139,7.162266731262207
calibration,11,4300,0.004070211201906204,1.0,0.041009463369846344,404.8655790040294,6.894867420196533,7.15590763092041
calibration,11,4325,0.003816891461610794,1.0,0.037854891270399094,402.38787916878056,6.809651851654053,7.040105819702148
calibration,11,4350,0.003827233100309968,1.0,0.041009463369846344,400.4464592235734,6.659411907196045,6.867666721343994
calibration,11,4375,0.003864387748762965,1.0,0.041009463369846344,399.2339036011372,6.512497901916504,6.708361625671387
