k,n,mask_type,implementation,round,repetitions,elapsed_ns,ns_per_call
8,256,all_true,python,8,1127,21096000,18718.7222715173
8,256,all_true,numpy,8,32000,19192416,599.763
6,64,random_50pct,python,9,4175,21614333,5177.085748502994
6,64,random_50pct,numpy,9,36901,18822917,510.09232812118915
4,16,all_true,python,9,15004,20938375,1395.5195281258332
4,16,all_true,numpy,9,36901,18081333,489.99574537275413
12,4096,random_50pct,python,9,59,19877625,336908.89830508473
12,4096,random_50pct,numpy,9,9795,17327708,1769.0360387953037
4,16,random_50pct,numpy,9,34306,16659208,485.60624963563225
4,16,random_50pct,python,9,14546,21239833,1460.1837618589302
18,262144,random_50pct,python,9,1,21432625,21432625.0
18,262144,random_50pct,numpy,9,257,20077542,78122.73151750973
19,524288,all_true,numpy,9,130,20215541,155504.16153846154
19,524288,all_true,python,9,1,41401291,41401291.0
20,1048576,random_50pct,numpy,9,49,16960792,346138.612244898
20,1048576,random_50pct,python,9,1,87278584,87278584.0
11,2048,all_true,python,9,132,21246042,160954.86363636365
11,2048,all_true,numpy,9,16557,19091875,1153.0998973243945
15,32768,all_true,numpy,9,1928,19779666,10259.16286307054
15,32768,all_true,python,9,8,20701459,2587682.375
13,8192,random_50pct,numpy,9,5647,18911166,3348.8871967416326
13,8192,random_50pct,python,9,30,20324250,677475.0
8,256,random_50pct,python,9,1072,21528625,20082.672574626864
8,256,random_50pct,numpy,9,32000,18708584,584.64325
16,65536,all_true,python,9,4,20739125,5184781.25
16,65536,all_true,numpy,9,1000,19897083,19897.083
9,512,all_true,numpy,9,28249,19181583,679.0181245353817
9,512,all_true,python,9,543,21288125,39204.65009208103
9,512,random_50pct,python,9,516,21339458,41355.53875968992
9,512,random_50pct,numpy,9,26667,18109125,679.0836989537631
5,32,all_true,numpy,9,36901,17819917,482.9114929134712
5,32,all_true,python,9,8275,21219917,2564.340422960725
1,2,random_50pct,python,9,32000,12099625,378.11328125
1,2,random_50pct,numpy,9,22858,11014500,481.866305013562
19,524288,random_50pct,python,9,1,42828458,42828458.0
19,524288,random_50pct,numpy,9,118,18739792,158811.7966101695
18,262144,all_true,numpy,9,257,20247125,78782.58754863813
18,262144,all_true,python,9,1,20662834,20662834.0
12,4096,all_true,python,9,61,19917959,326523.91803278687
12,4096,all_true,numpy,9,10912,19152333,1755.1624816715544
7,128,all_true,numpy,9,34247,18770167,548.0820801822057
7,128,all_true,python,9,2223,21312875,9587.438146648674
20,1048576,all_true,numpy,9,56,17957208,320664.4285714286
20,1048576,all_true,python,9,1,83123000,83123000.0
7,128,random_50pct,python,9,2106,21521459,10219.116334283
7,128,random_50pct,numpy,9,32000,17455083,545.47134375
5,32,random_50pct,python,9,7868,21581125,2742.8984494153533
5,32,random_50pct,numpy,9,36901,17793375,482.1922170130891
3,8,all_true,numpy,9,40000,18761500,469.0375
3,8,all_true,python,9,24010,19581000,815.5351936693045
14,16384,all_true,numpy,9,3556,19809917,5570.842800899887
14,16384,all_true,python,9,16,20766667,1297916.6875
13,8192,all_true,python,9,31,20138750,649637.0967741936
13,8192,all_true,numpy,9,6316,19163833,3034.1724192526917
17,131072,random_50pct,python,9,2,21475167,10737583.5
17,131072,random_50pct,numpy,9,507,20008125,39463.757396449706
10,1024,random_50pct,python,9,257,23055916,89711.73540856031
10,1024,random_50pct,numpy,9,21811,21158209,970.070560726239
2,4,random_50pct,python,9,36901,19861500,538.237446139671
2,4,random_50pct,numpy,9,34306,16876208,491.93167375969216
15,32768,random_50pct,python,9,8,21763084,2720385.5
15,32768,random_50pct,numpy,9,1913,19841041,10371.688970203868
14,16384,random_50pct,python,9,15,20398375,1359891.6666666667
14,16384,random_50pct,numpy,9,3583,19946166,5566.889757186715
1,2,all_true,python,9,47962,18105208,377.49068012176303
1,2,all_true,numpy,9,34247,16782375,490.0392735130084
2,4,all_true,numpy,9,36901,17879042,484.51375301482346
2,4,all_true,python,9,36901,19294833,522.8810330343351
3,8,random_50pct,numpy,9,36901,18070208,489.6942630281022
3,8,random_50pct,python,9,23981,20199250,842.3022392727576
8,256,all_true,python,9,1127,21211250,18820.984915705412
8,256,all_true,numpy,9,32000,19089166,596.5364375
10,1024,all_true,python,9,266,21888000,82285.71428571429
10,1024,all_true,numpy,9,22858,19587375,856.9155219179281
6,64,all_true,numpy,9,34306,17557459,511.78974523406987
6,64,all_true,python,9,4325,21247458,4912.707052023122
11,2048,random_50pct,python,9,128,21747375,169901.3671875
11,2048,random_50pct,numpy,9,16543,19236125,1162.795442180983
16,65536,random_50pct,numpy,9,994,19682042,19800.84708249497
16,65536,random_50pct,python,9,4,21609208,5402302.0
17,131072,all_true,numpy,9,513,20105417,39191.84600389864
17,131072,all_true,python,9,2,20884667,10442333.5
19,524288,all_true,python,10,1,41792167,41792167.0
19,524288,all_true,numpy,10,130,20284416,156033.96923076923
10,1024,random_50pct,python,10,257,21534292,83791.01945525291
10,1024,random_50pct,numpy,10,21811,18261250,837.2495529778552
