k,n,mask_type,implementation,round,repetitions,elapsed_ns,ns_per_call
16,65536,all_true,numpy,12,1000,20047834,20047.834
15,32768,random_50pct,numpy,12,1913,19507542,10197.355985363303
15,32768,random_50pct,python,12,8,21437042,2679630.25
3,8,all_true,python,12,24010,19636833,817.8605997501041
3,8,all_true,numpy,12,40000,19688583,492.214575
19,524288,random_50pct,numpy,12,118,19322375,163748.9406779661
19,524288,random_50pct,python,12,1,43099125,43099125.0
19,524288,all_true,python,12,1,41751625,41751625.0
19,524288,all_true,numpy,12,130,20804542,160034.93846153846
20,1048576,random_50pct,numpy,12,49,16907083,345042.51020408166
20,1048576,random_50pct,python,12,1,86081292,86081292.0
4,16,all_true,python,12,15004,21011167,1400.3710343908292
4,16,all_true,numpy,12,36901,18190375,492.95073304246495
1,2,all_true,numpy,12,34247,16712084,487.98680176365815
1,2,all_true,python,12,47962,18211167,379.69990826070637
13,8192,all_true,numpy,12,6316,20069625,3177.5847055098166
13,8192,all_true,python,12,31,20863542,673017.4838709678
10,1024,random_50pct,numpy,12,21811,18942958,868.5047911604237
10,1024,random_50pct,python,12,257,22004667,85621.27237354085
14,16384,random_50pct,numpy,12,3583,20272000,5657.828635221881
14,16384,random_50pct,python,12,15,20598583,1373238.8666666667
17,131072,random_50pct,numpy,12,507,20058208,39562.54043392505
17,131072,random_50pct,python,12,2,21357167,10678583.5
20,1048576,all_true,numpy,12,56,18225792,325460.5714285714
20,1048576,all_true,python,12,1,84050583,84050583.0
11,2048,all_true,python,12,132,21542958,163204.22727272726
11,2048,all_true,numpy,12,16557,19368167,1169.787219906988
7,128,all_true,python,12,2223,21345208,9601.982905982906
7,128,all_true,numpy,12,34247,19915375,581.5217391304348
9,512,random_50pct,python,12,516,21443333,41556.84689922481
9,512,random_50pct,numpy,12,26667,18463458,692.3710203622454
15,32768,all_true,numpy,12,1928,19702208,10218.98755186722
15,32768,all_true,python,12,8,21042416,2630302.0
18,262144,all_true,python,13,1,20698625,20698625.0
18,262144,all_true,numpy,13,257,19949333,77623.86381322957
12,4096,all_true,python,13,61,20087875,329309.4262295082
12,4096,all_true,numpy,13,10912,19443000,1781.799853372434
17,131072,random_50pct,python,13,2,21561583,10780791.5
17,131072,random_50pct,numpy,13,507,20047125,39540.680473372784
10,1024,random_50pct,numpy,13,21811,18397667,843.5040575856219
10,1024,random_50pct,python,13,257,21307875,82910.01945525291
20,1048576,all_true,numpy,13,56,17750958,316981.39285714284
20,1048576,all_true,python,13,1,82689167,82689167.0
4,16,all_true,python,13,15004,20932208,1395.1085043988269
4,16,all_true,numpy,13,36901,17918875,485.59320885612857
2,4,random_50pct,numpy,13,34306,16365667,477.04969976097476
2,4,random_50pct,python,13,36901,19817000,537.0315167610634
20,1048576,random_50pct,python,13,1,85729042,85729042.0
20,1048576,random_50pct,numpy,13,49,16426833,335241.48979591834
7,128,all_true,numpy,13,34247,18853416,550.5129208397816
7,128,all_true,python,13,2223,21201125,9537.168241115609
9,512,random_50pct,python,13,516,21123208,40936.4496124031
9,512,random_50pct,numpy,13,26667,18372625,688.964825439682
4,16,random_50pct,python,13,14546,21194167,1457.0443420871718
4,16,random_50pct,numpy,13,34306,16302625,475.2120620299656
3,8,random_50pct,numpy,13,36901,17367792,470.6591149291347
3,8,random_50pct,python,13,23981,20082292,837.4251282265127
6,64,random_50pct,numpy,13,36901,18157708,492.06547248042057
6,64,random_50pct,python,13,4175,21540500,5159.4011976047905
12,4096,random_50pct,numpy,13,9795,17103500,1746.1459928534966
12,4096,random_50pct,python,13,59,19929917,337795.2033898305
16,65536,random_50pct,numpy,13,994,19724333,19843.393360160964
16,65536,random_50pct,python,13,4,21417958,5354489.5
16,65536,all_true,python,13,4,20598125,5149531.25
16,65536,all_true,numpy,13,1000,19782666,19782.666
17,131072,all_true,python,13,2,20578291,10289145.5
17,131072,all_true,numpy,13,513,20021833,39028.914230019494
15,32768,random_50pct,python,13,8,21323625,2665453.125
15,32768,random_50pct,numpy,13,1913,19757167,10327.84474647151
19,524288,all_true,numpy,13,130,20100333,154617.94615384616
19,524288,all_true,python,13,1,41412541,41412541.0
1,2,all_true,numpy,13,34247,16560667,483.5654801880457
1,2,all_true,python,13,47962,18151375,378.4532546599391
8,256,random_50pct,numpy,13,32000,18466875,577.08984375
8,256,random_50pct,python,13,1072,21338875,19905.66697761194
6,64,all_true,python,13,4325,21180125,4897.138728323699
6,64,all_true,numpy,13,34306,17254375,502.9550224450533
18,262144,random_50pct,python,13,1,21267000,21267000.0
18,262144,random_50pct,numpy,13,257,20026292,77923.31517509728
9,512,all_true,python,13,543,21219625,39078.499079189685
9,512,all_true,numpy,13,28249,19224625,680.5417890898793
10,1024,all_true,numpy,13,22858,18966250,829.7423221629189
10,1024,all_true,python,13,266,21066958,79199.09022556391
5,32,all_true,numpy,13,36901,17642334,478.099075905802
5,32,all_true,python,13,8275,21099167,2549.7482779456195
8,256,all_true,python,13,1127,21211125,18820.874001774624
8,256,all_true,numpy,13,32000,18592375,581.01171875
5,32,random_50pct,numpy,13,36901,17888292,484.76442372835425
5,32,random_50pct,python,13,7868,21253542,2701.263599389934
3,8,all_true,python,13,24010,19455041,810.28908788005
3,8,all_true,numpy,13,40000,18900041,472.501025
15,32768,all_true,python,13,8,20601875,2575234.375
15,32768,all_true,numpy,13,1928,19823250,10281.76867219917
14,16384,all_true,python,13,16,20662125,1291382.8125
14,16384,all_true,numpy,13,3556,19869084,5587.481439820022
1,2,random_50pct,python,13,32000,12103125,378.22265625
1,2,random_50pct,numpy,13,22858,10934167,478.35186805494794
13,8192,random_50pct,numpy,13,5647,18930125,3352.244554630777
13,8192,random_50pct,python,13,30,20174916,672497.2
11,2048,random_50pct,python,13,128,21381084,167039.71875
11,2048,random_50pct,numpy,13,16543,18682209,1129.3120353019403
13,8192,all_true,python,13,31,19964250,644008.0645161291
13,8192,all_true,numpy,13,6316,18978083,3004.76298290057
11,2048,all_true,python,13,132,21030292,159320.39393939395
11,2048,all_true,numpy,13,16557,18720334,1130.6597813613578
14,16384,random_50pct,numpy,13,3583,19279417,5380.802958414736
14,16384,random_50pct,python,13,15,20103708,1340247.2
19,524288,random_50pct,python,13,1,44348000,44348000.0
19,524288,random_50pct,numpy,13,118,21226125,179882.41525423728
7,128,random_50pct,python,13,2106,21516250,10216.642924976259
7,128,random_50pct,numpy,13,32000,17448584,545.26825
2,4,all_true,numpy,13,36901,17251167,467.4986314734018
2,4,all_true,python,13,36901,19314292,523.4083629169941
13,8192,all_true,numpy,14,6316,19119667,3027.179702343255
13,8192,all_true,python,14,31,19967292,644106.1935483871
15,32768,random_50pct,python,14,8,21468958,2683619.75
15,32768,random_50pct,numpy,14,1913,19823959,10362.759539989545
15,32768,all_true,python,14,8,20581833,2572729.125
15,32768,all_true,numpy,14,1928,19699250,10217.453319502074
2,4,all_true,python,14,36901,19368125,524.8672122706702
2,4,all_true,numpy,14,36901,17384625,471.1152814286876
13,8192,random_50pct,python,14,30,20130541,671018.0333333333
13,8192,random_50pct,numpy,14,5647,18897834,3346.5262971489287
16,65536,all_true,numpy,14,1000,19764000,19764.0
16,65536,all_true,python,14,4,20565250,5141312.5
12,4096,random_50pct,numpy,14,9795,17032542,1738.901684532925
12,4096,random_50pct,python,14,59,19840125,336273.30508474575
4,16,random_50pct,numpy,14,34306,16258250,473.91855652072525
4,16,random_50pct,python,14,14546,21022542,1445.2455657912828
20,1048576,random_50pct,python,14,1,85247875,85247875.0
20,1048576,random_50pct,numpy,14,49,16430416,335314.612244898
1,2,all_true,numpy,14,34247,16478625,481.1698834934447
1,2,all_true,python,14,47962,18275458,381.04036528918726
18,262144,all_true,python,14,1,20487333,20487333.0
18,262144,all_true,numpy,14,257,19956000,77649.80544747082
7,128,random_50pct,python,14,2106,21431667,10176.480056980057
7,128,random_50pct,numpy,14,32000,17404834,543.9010625
17,131072,random_50pct,numpy,14,507,19862750,39177.021696252465
17,131072,random_50pct,python,14,2,21716000,10858000.0
6,64,random_50pct,numpy,14,36901,18166375,492.3003441641148
6,64,random_50pct,python,14,4175,21534166,5157.884071856288
7,128,all_true,numpy,14,34247,18676417,545.3446141267848
7,128,all_true,python,14,2223,21291666,9577.897435897436
19,524288,all_true,python,14,1,41131833,41131833.0
19,524288,all_true,numpy,14,130,20080000,154461.53846153847
3,8,random_50pct,numpy,14,36901,17313708,469.19346359177257
3,8,random_50pct,python,14,23981,19975125,832.9562987364998
11,2048,random_50pct,numpy,14,16543,18337625,1108.4824397025932
11,2048,random_50pct,python,14,128,21468083,167719.3984375
12,4096,all_true,numpy,14,10912,18885917,1730.747525659824
12,4096,all_true,python,14,61,19489750,319504.0983606557
5,32,all_true,python,14,8275,21060125,2545.0302114803626
5,32,all_true,numpy,14,36901,17867875,484.21113248963445
11,2048,all_true,numpy,14,16557,18644584,1126.084677175817
11,2048,all_true,python,14,132,21060875,159552.08333333334
5,32,random_50pct,numpy,14,36901,17555041,475.7334760575594
5,32,random_50pct,python,14,7868,21253667,2701.2794865277074
18,262144,random_50pct,python,14,1,21458958,21458958.0
18,262144,random_50pct,numpy,14,257,20077417,78122.24513618677
8,256,random_50pct,python,14,1072,21371250,19935.867537313432
8,256,random_50pct,numpy,14,32000,18464000,577.0
6,64,all_true,python,14,4325,21154208,4891.146358381503
6,64,all_true,numpy,14,34306,16992500,495.32151810178976
14,16384,all_true,python,14,16,20628084,1289255.25
14,16384,all_true,numpy,14,3556,20093708,5650.649043869516
9,512,random_50pct,numpy,14,26667,17884000,670.6416169797877
9,512,random_50pct,python,14,516,21130542,40950.66279069767
3,8,all_true,numpy,14,40000,18709625,467.740625
3,8,all_true,python,14,24010,19353709,806.0686797167847
17,131072,all_true,numpy,14,513,19935042,38859.73099415204
17,131072,all_true,python,14,2,20583791,10291895.5
10,1024,all_true,numpy,14,22858,19013667,831.8167381223204
10,1024,all_true,python,14,266,21012833,78995.61278195489
20,1048576,all_true,python,14,1,82392833,82392833.0
20,1048576,all_true,numpy,14,56,17611000,314482.14285714284
4,16,all_true,python,14,15004,20747458,1382.7951213009865
4,16,all_true,numpy,14,36901,17348500,470.13631066908755
8,256,all_true,python,14,1127,20995500,18629.54747116238
8,256,all_true,numpy,14,32000,18477375,577.41796875
14,16384,random_50pct,numpy,14,3583,19298833,5386.221881105219
14,16384,random_50pct,python,14,15,20330084,1355338.9333333333
19,524288,random_50pct,numpy,14,118,18898000,160152.54237288135
19,524288,random_50pct,python,14,1,42847917,42847917.0
9,512,all_true,numpy,14,28249,19224584,680.5403377110695
9,512,all_true,python,14,543,21151709,38953.42357274402
10,1024,random_50pct,numpy,14,21811,17913958,821.3267617257347
10,1024,random_50pct,python,14,257,21451042,83467.08949416342
16,65536,random_50pct,numpy,14,994,19704166,19823.1046277666
16,65536,random_50pct,python,14,4,21530791,5382697.75
2,4,random_50pct,numpy,14,34306,15927375,464.2737422025302
2,4,random_50pct,python,14,36901,19562667,530.1392103195035
1,2,random_50pct,python,14,32000,11961833,373.80728125
1,2,random_50pct,numpy,14,22858,10759167,470.69590515355674
